Price,Close,High,Low,Open,Volume,EMA12,EMA26,MACD_Line,Signal_Line,Histogram
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Datetime,,,,,,,,,,
2024-12-30 15:34:00+00:00,419.2799988,420.019989,419.1000977,419.75,57681,419.1113353,418.9150584,0.196276879,0.070768463,0.125508415
2024-12-30 15:35:00+00:00,419.0299988,419.6000061,418.8956909,419.1400146,81405,419.098822,418.9235725,0.175249468,0.091664664,0.083584804
2024-12-30 15:36:00+00:00,419.0100098,420.1700134,418.9400024,419.1350098,92686,419.0851586,418.9299753,0.155183291,0.104368389,0.050814901
2024-12-30 15:37:00+00:00,420.0599976,420.1400146,418.3525085,419.019989,166719,419.2351338,419.0136806,0.221453166,0.127785345,0.093667821
2024-12-30 15:38:00+00:00,421.1817017,421.3999939,419.9663086,419.9663086,228920,419.5346058,419.1742748,0.360330995,0.174294475,0.18603652
2024-12-30 15:39:00+00:00,422.4299927,422.7182007,420.9299927,421.065094,266384,419.9800499,419.4154391,0.564610845,0.252357749,0.312253096
2024-12-30 15:40:00+00:00,422.7600098,423.2999878,422.0469055,422.3989868,253503,420.407736,419.663185,0.744550999,0.350796399,0.3937546
2024-12-30 15:41:00+00:00,421.7131958,422.8898926,421.6600037,422.6650085,153600,420.608576,419.8150377,0.793538313,0.439344782,0.354193531
2024-12-30 15:42:00+00:00,421.7000122,422.1000061,421.5599976,421.8450012,88073,420.7764893,419.9546654,0.821823833,0.515840592,0.305983241
2024-12-30 15:43:00+00:00,421.5799866,422.2298889,421.3800049,421.6499939,107671,420.9001042,420.0750596,0.825044645,0.577681403,0.247363242
2024-12-30 15:44:00+00:00,421.7850037,422.2000122,421.4204102,421.7850037,76479,421.0362426,420.2017221,0.834520494,0.629049221,0.205471273
2024-12-30 15:45:00+00:00,421.6400146,422.6299133,421.6300049,421.7200012,161527,421.1291306,420.3082623,0.820868312,0.667413039,0.153455273
2024-12-30 15:46:00+00:00,421.2999878,421.9198914,421,421.7950134,132690,421.1554163,420.3817235,0.773692885,0.688669008,0.085023876
2024-12-30 15:47:00+00:00,420.9866028,421.3630066,420.5801086,421.3630066,101343,421.129445,420.4265293,0.702915692,0.691518345,0.011397347
2024-12-30 15:48:00+00:00,420.0599976,421.1099854,419.7099915,420.9786072,131498,420.9649146,420.3993788,0.565535815,0.666321839,-0.100786024
2024-12-30 15:49:00+00:00,419.115509,420.2000122,419,420.1300049,139001,420.6803907,420.3042774,0.376113342,0.60828014,-0.232166798
